customerid,name,accountnumber,accounttype,balance,currency,phonenumber,email,address,city,country,datetime
C125,Emily Jones,456789123,Savings,20000.0,USD,345-678-9012,emily.jones@example.com,789 Pine Street,Metropolis,USA,2024-07-22 13:05:02.888289
bfe46be1-af86-4a87-96f0-8fa69555c30c,Stephen Smith,364547941,Savings,15208.0,MVR,001-945-201-7397x11792,rogersjames@example.org,36879 Alan Lane,Santosport,Ireland,2024-07-22 13:05:29.016747
47bf7688-18b8-436a-83e8-a63aab762f48,Laura Peterson,775805389,Savings,62652.0,MOP,663.596.9405x438,xrobinson@example.net,975 Cole Valleys Apt. 496,Calderonborough,Guyana,2024-07-22 13:05:29.018751
887eb28c-fcf3-4a70-ab3f-f2debfc37443,Lauren Brown,848959102,Checking,33973.0,MUR,001-259-240-0563x11895,kellygreer@example.net,9632 Melton Glens,Lindaborough,Micronesia,2024-07-22 13:05:29.019748
ea0f35b0-3329-4ca7-a14a-147ce4fd31c4,Paige Strong,729962973,Savings,1748.0,MGA,759.661.0433x42651,powens@example.net,5962 Whitney Mission,Zacharyfurt,Bosnia and Herzegovina,2024-07-22 13:05:29.019748
1ad92431-2dfd-4f70-8f16-ad2cb87015ce,Lisa Lloyd,724336874,Checking,32458.0,ARS,9608098119,sbarber@example.com,19109 Rhodes Mission,Lake Grace,Venezuela,2024-07-22 13:05:29.020914
484a6709-6cc2-4976-935a-bda6f0bfddb8,Sharon Coleman,893649675,Checking,36979.0,DJF,+1-996-315-4209x8301,solomonmitchell@example.net,23217 Cordova Forge,North Emily,Bermuda,2024-07-22 13:05:29.021750
0bd5ce94-104d-4b32-b725-31b0775b3172,Sabrina Lee,820350048,Savings,36286.0,DOP,(361)678-4377,torresdylan@example.org,593 Shannon Ville Apt. 805,Erinbury,Guinea,2024-07-22 13:05:29.022750
b07efdfc-637a-43be-99d0-1816319c9e77,Lance Pearson,394718254,Checking,11208.0,USD,001-369-326-2834x20418,traceytaylor@example.com,5138 Courtney Terrace,Austinborough,Cote d'Ivoire,2024-07-22 13:05:29.023862
c05d88db-e540-4bd3-94c3-61217d2f28c3,Theresa Flores,473775212,Checking,11531.0,KMF,+1-793-955-7892,david56@example.net,759 Medina Crescent,North Charles,Tanzania,2024-07-22 13:05:29.023862
2ebe7179-232b-44b3-9274-d9e48b9feae0,Mr. George Foster PhD,465631446,Checking,16154.0,NIS,001-330-422-6229x94379,umyers@example.org,125 Judy Knolls,Fitzgeraldberg,Algeria,2024-07-22 13:05:29.024750
536838bf-5da4-42c7-8ee4-05e1be39e668,Rhonda Jenkins,723832633,Checking,1583.0,MGA,+1-638-679-7596,rachelkennedy@example.com,8013 Cross Village Apt. 610,East Saramouth,Cocos (Keeling) Islands,2024-07-22 13:05:29.025724
23165703-6e82-480e-a14f-e1c52773598e,Cody Cole,828202639,Checking,3136.0,ETB,937-268-7728x060,ddavis@example.com,694 Brown Flats,New Cynthia,Guatemala,2024-07-22 13:05:29.026746
e93a30de-da48-45f2-9d68-a3562d1a0c6d,Olivia Wagner,608160476,Checking,99976.0,HKD,(646)289-8031,stephengoodman@example.net,362 Jon Mountain Suite 022,Luisstad,Canada,2024-07-22 13:05:29.027751
feb7118c-3f81-4a63-b858-b20695de288a,Tony Russell,614463975,Savings,16222.0,SDG,224-704-2164x77950,kellyjohnson@example.net,9139 Ramos Haven,New Jason,Holy See (Vatican City State),2024-07-22 13:05:29.027751
c7645a4a-bf11-4d69-959c-39b071745e4f,Natalie Hughes,64382556,Checking,89543.0,ILS,+1-288-947-7513x1091,mccoymichele@example.net,01476 Jamie Walk Suite 451,North Roy,Algeria,2024-07-22 13:05:29.028749
9e5c7a91-d90b-480d-a806-00806f4ab133,Lisa Watson,685357982,Savings,68480.0,BAM,(931)797-4404,tamiromero@example.com,03707 Jason Springs Suite 556,Hamiltonmouth,Norfolk Island,2024-07-22 13:05:29.029749
54d272f8-d027-430a-86db-83e762fee5bb,Christopher Lane,246715931,Checking,98809.0,BIF,001-774-502-2276x15551,smithdanielle@example.com,49083 Jacob Circles,East Jenniferbury,Puerto Rico,2024-07-22 13:05:29.030748
479c48d9-fb20-4f10-9474-8e4b5f58eb41,Janet Bailey,46171500,Savings,17640.0,SVC,+1-402-592-6232x678,christian79@example.org,2329 Sims Manor Apt. 354,Stonetown,Algeria,2024-07-22 13:05:29.031031
6f99981b-fd1f-4e78-8fb6-f446afcd1a0f,Christopher Olson,550123913,Savings,68483.0,AED,596.568.1153x76285,usmith@example.com,867 John Islands Apt. 463,Graytown,Antigua and Barbuda,2024-07-22 13:05:29.031749
ef8d4b29-1c1b-41f7-ab86-0cf871681491,Sarah Hunt,709723119,Savings,50034.0,NGN,+1-979-272-5585x14363,nicholas41@example.net,6463 Jackson Ville,Port Davidport,Chile,2024-07-22 13:05:29.032749
16730efa-e874-43b7-a4e0-a26be2819fcf,Kimberly Mueller,982233077,Checking,99514.0,AOA,+1-767-678-2498x95968,curtis32@example.net,6627 Jamie Unions,Roberttown,Somalia,2024-07-22 13:05:29.033749
7f5b6744-15da-4d85-aaa5-4945d5b358d5,Michele Hudson,13762025,Savings,12448.0,LTL,+1-960-738-3054,ojefferson@example.org,063 Zavala Course,New Brianfort,Svalbard & Jan Mayen Islands,2024-07-22 13:05:29.033749
ef8583fe-1a57-4c15-8d30-40966a5590ee,Cynthia Baker,540995878,Checking,1916.0,BOB,(652)257-6890x406,marydurham@example.com,59734 Allison Isle Suite 281,North Michael,Solomon Islands,2024-07-22 13:05:29.034720
4c3968e2-e7e6-4de7-839e-3ff21c896ab4,Steven Grant,237256387,Savings,97998.0,CUC,494.670.2407x38406,mclaughlinrachel@example.net,40413 Rodriguez Knoll,East Donnabury,Moldova,2024-07-22 13:05:29.035746
f7530269-9b47-437b-9f3b-31c910958da0,Sara Wilson,252604639,Savings,9029.0,ANG,476-274-9327x9086,grace73@example.org,461 Mcgrath Inlet Apt. 446,East Melissa,Australia,2024-07-22 13:05:29.035746
c5a4fa0a-d050-40de-8a0d-ec9b46cb1bda,Peter Haas,904293383,Savings,63976.0,SGD,483-858-7645x80303,wharris@example.com,958 Wilcox Lane,Angelaview,Belgium,2024-07-22 13:05:29.036938
262dbe4f-37a1-486a-8fa5-8fc0420f94bd,Mrs. Heather James,624027608,Checking,60509.0,NAD,5013575904,schneidercheryl@example.org,915 Thompson Mill Apt. 718,Chasechester,Mexico,2024-07-22 13:05:29.037751
c549bf0f-b7f4-4d3e-b06a-e877752cc5f1,Carmen Newton,43718004,Checking,24583.0,KHR,774.938.1692x216,dicksondaniel@example.com,217 Kimberly View Apt. 260,New Jessicabury,Romania,2024-07-22 13:05:29.038750
3f89242c-66de-4954-82c4-ee886a4df75d,Kathryn Mann,439196085,Savings,5106.0,DZD,+1-485-573-0511x89046,alicia12@example.org,28935 Natalie Hill Suite 984,North Suzanneport,Ethiopia,2024-07-22 13:05:29.039715
808bf7e8-2f90-4f83-bd6f-1a00e3ebe548,Janet Meyer,249400092,Savings,7341.0,BHD,(276)663-0904x06556,mnewman@example.org,30778 Jason Rue,Lake Joshua,Sierra Leone,2024-07-22 13:05:29.039715
d477662e-c4ff-4896-b119-208c75cb0ee7,Jill Tate,295264956,Checking,59151.0,BZD,(974)799-3743,reyescody@example.org,0675 Sandy Parkway,New Joshua,Rwanda,2024-07-22 13:05:29.040871
0bb2d2e1-89e7-44ab-b4e5-f0ff87a9499a,Joshua Crosby,164844421,Savings,97002.0,CAD,(300)906-4725,rdavis@example.org,76564 Baker Forks Suite 634,Charlesmouth,Taiwan,2024-07-22 13:05:29.041750
41f9bf33-49cb-4dda-98ab-e621402f4ad5,Paul Robertson,84325003,Checking,73523.0,CVE,+1-950-724-3888,rosariocarlos@example.net,376 Hicks Prairie,North Gregoryport,Djibouti,2024-07-22 13:05:29.042746
948ba6e2-d387-4c15-9657-9e97dd714558,Nathaniel Smith,376672324,Checking,76539.0,KGS,767.654.3202x02450,quinnrussell@example.org,929 Peters Plains,Michaelside,Saint Pierre and Miquelon,2024-07-22 13:05:29.042746
0a5dab69-ed4b-4db4-b952-bc89c608ac19,Peggy Becker,862021185,Savings,43135.0,BWP,358.609.8851,herrerajustin@example.com,9884 Karen Tunnel Suite 722,Susanberg,Angola,2024-07-22 13:05:29.043753
